GEO.id	GEOID10	GEO.display-label	population	collision
1500000US370810138002	3.7081E+11	"Block Group 2, Census Tract 138, Guilford County, North Carolina"	849	99
1500000US370810138003	3.7081E+11	"Block Group 3, Census Tract 138, Guilford County, North Carolina"	770	114
1500000US370810138004	3.7081E+11	"Block Group 4, Census Tract 138, Guilford County, North Carolina"	478	138
1500000US370810138005	3.7081E+11	"Block Group 5, Census Tract 138, Guilford County, North Carolina"	1625	381
1500000US370810139001	3.7081E+11	"Block Group 1, Census Tract 139, Guilford County, North Carolina"	636	208
1500000US370810139002	3.7081E+11	"Block Group 2, Census Tract 139, Guilford County, North Carolina"	979	100
1500000US370810139003	3.7081E+11	"Block Group 3, Census Tract 139, Guilford County, North Carolina"	695	143
1500000US370810139004	3.7081E+11	"Block Group 4, Census Tract 139, Guilford County, North Carolina"	2282	250
1500000US370810140001	3.7081E+11	"Block Group 1, Census Tract 140, Guilford County, North Carolina"	1201	66
1500000US370810140002	3.7081E+11	"Block Group 2, Census Tract 140, Guilford County, North Carolina"	2501	120
1500000US370810142001	3.7081E+11	"Block Group 1, Census Tract 142, Guilford County, North Carolina"	781	351
1500000US370810142002	3.7081E+11	"Block Group 2, Census Tract 142, Guilford County, North Carolina"	943	25
1500000US370810142003	3.7081E+11	"Block Group 3, Census Tract 142, Guilford County, North Carolina"	1109	785
1500000US370810142004	3.7081E+11	"Block Group 4, Census Tract 142, Guilford County, North Carolina"	1211	201
1500000US370810143001	3.7081E+11	"Block Group 1, Census Tract 143, Guilford County, North Carolina"	611	367
1500000US370810143002	3.7081E+11	"Block Group 2, Census Tract 143, Guilford County, North Carolina"	783	96
1500000US370810143003	3.7081E+11	"Block Group 3, Census Tract 143, Guilford County, North Carolina"	1141	328
1500000US370810143004	3.7081E+11	"Block Group 4, Census Tract 143, Guilford County, North Carolina"	580	201
1500000US370810144061	3.7081E+11	"Block Group 1, Census Tract 144.06, Guilford County, North Carolina"	2392	267
1500000US370810144071	3.7081E+11	"Block Group 1, Census Tract 144.07, Guilford County, North Carolina"	2465	337
1500000US370810144072	3.7081E+11	"Block Group 2, Census Tract 144.07, Guilford County, North Carolina"	2311	171
1500000US370810144073	3.7081E+11	"Block Group 3, Census Tract 144.07, Guilford County, North Carolina"	1347	70
1500000US370810144081	3.7081E+11	"Block Group 1, Census Tract 144.08, Guilford County, North Carolina"	2391	92
1500000US370810144091	3.7081E+11	"Block Group 1, Census Tract 144.09, Guilford County, North Carolina"	1240	240
1500000US370810144092	3.7081E+11	"Block Group 2, Census Tract 144.09, Guilford County, North Carolina"	1488	393
1500000US370810144101	3.7081E+11	"Block Group 1, Census Tract 144.10, Guilford County, North Carolina"	1228	259
1500000US370810144102	3.7081E+11	"Block Group 2, Census Tract 144.10, Guilford County, North Carolina"	1242	0
1500000US370810144103	3.7081E+11	"Block Group 3, Census Tract 144.10, Guilford County, North Carolina"	1340	0
1500000US370810144111	3.7081E+11	"Block Group 1, Census Tract 144.11, Guilford County, North Carolina"	1847	0
1500000US370810144112	3.7081E+11	"Block Group 2, Census Tract 144.11, Guilford County, North Carolina"	1771	0
1500000US370810144113	3.7081E+11	"Block Group 3, Census Tract 144.11, Guilford County, North Carolina"	1810	0
1500000US370810144121	3.7081E+11	"Block Group 1, Census Tract 144.12, Guilford County, North Carolina"	1320	0
1500000US370810144122	3.7081E+11	"Block Group 2, Census Tract 144.12, Guilford County, North Carolina"	1535	0
1500000US370810145011	3.7081E+11	"Block Group 1, Census Tract 145.01, Guilford County, North Carolina"	710	0
1500000US370810145012	3.7081E+11	"Block Group 2, Census Tract 145.01, Guilford County, North Carolina"	716	0
1500000US370810145021	3.7081E+11	"Block Group 1, Census Tract 145.02, Guilford County, North Carolina"	2860	0
1500000US370810145022	3.7081E+11	"Block Group 2, Census Tract 145.02, Guilford County, North Carolina"	2045	0
1500000US370810145031	3.7081E+11	"Block Group 1, Census Tract 145.03, Guilford County, North Carolina"	2384	0
1500000US370810145032	3.7081E+11	"Block Group 2, Census Tract 145.03, Guilford County, North Carolina"	1316	0
1500000US370810151001	3.7081E+11	"Block Group 1, Census Tract 151, Guilford County, North Carolina"	1519	0
1500000US370810151002	3.7081E+11	"Block Group 2, Census Tract 151, Guilford County, North Carolina"	2296	0
1500000US370810152001	3.7081E+11	"Block Group 1, Census Tract 152, Guilford County, North Carolina"	1243	0
1500000US370810152002	3.7081E+11	"Block Group 2, Census Tract 152, Guilford County, North Carolina"	2309	15
1500000US370810152003	3.7081E+11	"Block Group 3, Census Tract 152, Guilford County, North Carolina"	4938	0
1500000US370810152004	3.7081E+11	"Block Group 4, Census Tract 152, Guilford County, North Carolina"	707	14
1500000US370810153001	3.7081E+11	"Block Group 1, Census Tract 153, Guilford County, North Carolina"	3132	0
1500000US370810153002	3.7081E+11	"Block Group 2, Census Tract 153, Guilford County, North Carolina"	2044	12
1500000US370810153003	3.7081E+11	"Block Group 3, Census Tract 153, Guilford County, North Carolina"	3600	223
